state;postal;city;street;container;note
Niederösterreich;3003;Gablitz;Hauersteigstraße 51;1;
Niederösterreich;3003;Gablitz;Kirchenplatz 2;1;
Niederösterreich;3003;Gablitz;Ferdinand-Ebner-Gasse 6;1;
Niederösterreich;3003;Gablitz;Linzer Straße 165 b;1;
Niederösterreich;3003;Gablitz;Linzer Straße bei Miterauenstraße;1;
Niederösterreich;3011;Untertullnerbach;Irenental 1;2;
Niederösterreich;3012;Wolfsgraben;Hauptstraße 27;2;
Niederösterreich;3021;Pressbaum;Hauptstraße 75;2;
Niederösterreich;3400;Klosterneuburg;Tullnerstraße 5, Scheiblingstein;1;
Niederösterreich;3400;Klosterneuburg;Kirchenplatz 1;1;
Niederösterreich;3400;Klosterneuburg;Hauptstraße 12;1;
Niederösterreich;3400;Klosterneuburg;Sachsengasse 2;3;
Niederösterreich;3400;Klosterneuburg;Stiftsplatz 5;1;
Niederösterreich;3400;Klosterneuburg;Brandmayerstraße 50;1;
Niederösterreich;3420;Kritzendorf;St. Vitus Platz;2;
Niederösterreich;3421;Höflein;Schulgasse 5;1;
Niederösterreich;3464;Hausleiten;Kirchenstraße 41;2;
Niederösterreich;3701;Großweikersdorf;Schmidastraße 2;1;
Niederösterreich;3720;Ravelsbach;Parkweg;3;
Niederösterreich;2120;Wolkersdorf;Withalmstraße 4;3;
Niederösterreich;2451;Hof/Leithageb.;Hauptstrasse 7, neben Pfarrhof;1;
Niederösterreich;2451;Au / Leithage.;Hauptstrasse, vor der Kirche;1;
Niederösterreich;2483;Weigelsdorf;Friedhof;1;
Niederösterreich;2483;Ebreichsdorf;Friedhof;1;
Niederösterreich;2492;Eggendorf;Kirchengasse 1, Kirche;1;
Niederösterreich;2492;Eggendorf;Maria Theresiensiedlung, Kirche;1;
Niederösterreich;2500;Sooss;Weingartenstraße;1;
Niederösterreich;2500;Baden;Pfarrplatz 7;2;
Niederösterreich;2500;Baden;Weilburgstr. 27 - 29;1;
Niederösterreich;2512;Tribuswinkel;Kirchenplatz re Seite;1;
Niederösterreich;2521;Trumau;Pfarrhof;1;
Niederösterreich;2523;Tattendorf;Kirchengasse 1;1;
Niederösterreich;2531;Gaaden;Kirchenplatz 1;1;
Niederösterreich;2620;Loipersbach;Guntramserstraße - Bauhof;1;
Niederösterreich;2700;Wr.Neustadt;Wienerstrasse 62, carla süd;1;
Niederösterreich;2700;Wr.Neustadt;Grazerstrasse 52, Caritas Schule;1;
Niederösterreich;2700;Wr.Neustadt;Neunkirchnerstr., Firma Metro;1;
Niederösterreich;2700;Wr.Neustadt;Brunnerstrasse 5-7, Erlöserkirche;1;
Niederösterreich;2700;Wr.Neustadt;Felbergasse 42, Familienkirche;1;
Niederösterreich;2700;Wr.Neustadt;Badnerstr.;1;
Niederösterreich;2700;Wr.Neustadt;Anemonensee;1;
Niederösterreich;2700;Wr.Neustadt;Heideansiedlung, Steinabrückl;1;
Niederösterreich;2721;Bad Fischau;Hauptstrasse 24, Friedhof;1;
Niederösterreich;2721;Bad Fischau;Blätterasse 2 a, Spar;1;
Niederösterreich;2721;Bad Fischau;Bauhof;1;
Niederösterreich;2731;St.Egyden;Nr 1, Kirche;1;
Niederösterreich;2751;Matzendorf;Kreisverkehr;2;
Niederösterreich;2752;Wöllersdorf;Römerstrasse 3-9, Firma Ramonda;1;
